LAS mean service time (hr),DEN mean service time (hr),MDW mean service time (hr),LAS initial aircraft reserve,DEN initial aircraft reserve,MDW initial aircraft reserve,LAS->DEN travel time (hr),LAS->MDW travel time (hr),DEN->MDW travel time (hr),DEN->LAS travel time (hr),MDW->LAS travel time (hr),MDW->DEN travel time (hr),State,Day,Duration,Date
0.24442008,0.24560858,0.091207206,6.0583744,6.1236663,2.4631546,1.763077,3.2187352,1.9340327,1.8322331,3.9906845,2.5032046,Nominal,0,1,2022-12-01
0.20901039,0.16276161,0.05198887,6.08276,6.317088,2.3457994,1.6949733,3.105574,2.0234003,1.6985482,4.0398808,2.4925182,Nominal,0,1,2022-12-01
0.27129048,0.16201481,0.078180194,6.0338907,7.7063847,2.7876763,1.704429,3.1538005,1.9756663,1.6923734,3.8488932,2.5091784,Nominal,0,1,2022-12-01
0.22657615,0.14402469,0.051391404,5.757217,6.2159624,1.6786389,1.7621531,3.2123945,1.916523,1.7334394,4.040777,2.3280766,Nominal,0,1,2022-12-01
0.2575063,0.16109765,0.09087992,6.2937875,6.2478013,2.354174,1.7557391,3.3103125,1.9008051,1.7519724,4.016095,2.5042474,Nominal,0,1,2022-12-01
0.27860487,0.122482225,0.06667871,6.5719013,6.7165847,2.3046832,1.6352926,3.2092938,2.0325582,1.7996463,4.0825267,2.4897459,Nominal,0,1,2022-12-01
0.18454163,0.120199345,0.10845643,6.2084785,6.244973,2.5008771,1.7400393,3.435918,1.8992457,1.7403842,4.056297,2.4694364,Nominal,0,1,2022-12-01
0.28469604,0.10366395,0.05333899,6.2328615,7.089396,2.2255979,1.6792629,3.404527,1.8048441,1.7482083,3.9448147,2.2784526,Nominal,0,1,2022-12-01
0.17599928,0.14344038,0.05391188,6.0167713,6.137532,2.8156536,1.6817055,3.2512324,2.0639873,1.7075605,3.9489498,2.4814732,Nominal,0,1,2022-12-01
0.17021035,0.15520729,0.060791396,6.2102838,6.2682767,3.6777601,1.7694842,3.1534455,1.9120656,1.7449499,3.8403258,2.5891964,Nominal,0,1,2022-12-01
0.15513237,0.10781569,0.055700514,6.4199376,7.21919,2.5144398,1.6528916,3.2750275,1.8536694,1.7474301,4.036994,2.5600913,Nominal,0,1,2022-12-01
0.23430438,0.14698243,0.0867127,6.060544,6.3622894,2.4252753,1.7230513,3.0814247,1.8052354,1.7231045,3.9613383,2.4029126,Nominal,0,1,2022-12-01
0.26623762,0.15568551,0.05845706,6.604171,6.0068655,2.3547068,1.7248545,3.146398,1.9737843,1.782359,4.023542,2.4978523,Nominal,0,1,2022-12-01
0.30229354,0.1278739,0.061752003,5.975306,6.205279,2.8931324,1.6259109,3.1364195,1.865235,1.7817513,3.8098016,2.4433012,Nominal,0,1,2022-12-01
0.22335291,0.13369635,0.07594672,6.7720017,6.6234345,2.2755237,1.7329364,3.3632123,1.7627293,1.7312908,3.9531672,2.5444586,Nominal,0,1,2022-12-01
0.26011163,0.20590787,0.06013823,6.7801237,6.149043,2.571165,1.7346461,3.1495094,2.0351856,1.7357306,3.8884196,2.5221984,Nominal,0,1,2022-12-01
